qNo,question,subscale
bfasQ98,Want every detail taken care of.,conscOrder
bfasQ93R,Am easily distracted.,conscIndustr
bfasQ8R,Leave my belongings around.,conscOrder
bfasQ88,See that rules are observed.,conscOrder
bfasQ83R,Postpone decisions.,conscIndustr
bfasQ78R,Dislike routine.,conscOrder
bfasQ73,Always know what I am doing.,conscIndustr
bfasQ68R,Am not bothered by disorder.,conscOrder
bfasQ63,Get things done quickly.,conscIndustr
bfasQ58,Want everything to be 'just right',conscOrder
bfasQ53R,Don't put my mind on the task at hand.,conscIndustr
bfasQ48R,Am not bothered by messy people.,conscOrder
bfasQ43,Finish what I start.,conscIndustr
bfasQ38,Follow a schedule.,conscOrder
bfasQ33R,Mess things up.,conscIndustr
bfasQ3,Carry out my plans.,conscIndustr
bfasQ28,Keep things tidy.,conscOrder
bfasQ23R,Find it difficult to get down to work.,conscIndustr
bfasQ18,Like order.,conscOrder
bfasQ13R,Waste my time.,conscIndustr